"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"165310","建信沪深300指数增强(LOF)A","2020-12-04","1.3694","0.35","1.99","4.49","33.30","44.37","74.29","44.89","36.30","169.30",""
"165309","建信沪深300指数(LOF)","2020-12-04","1.7393","0.25","1.71","6.98","35.32","39.82","66.58","41.40","32.14","73.93",""
"164908","交银中证环境治理(LOF)","2020-12-04","0.5280","0.19","0.96","-10.05","4.35","7.98","-0.56","-41.46","3.53","-47.20",""
"164907","交银中证互联网金融指数分级","2020-11-05","0.9550","1.38","-0.10","-6.28","15.48","11.27","36.45","4.09","10.39","-32.34",""
"164905","交银新能源指数(LOF)","2020-12-04","1.0074","0.40","-0.16","17.43","42.18","66.77","72.30","23.12","52.11","5.80",""
"164825","工银中证京津冀协同发展指数C","2020-12-04","1.1150","0.58","0.55","-2.36","16.05","18.40","14.89","","11.17","11.67",""
"164818","工银中证传媒指数(LOF)A","2020-12-04","1.0474","-0.11","4.35","-7.84","6.77","20.07","29.82","-8.07","8.71","-69.60",""
"164811","工银中证京津冀协同发展指数A","2020-12-04","1.1169","0.57","0.56","-2.31","16.19","18.42","14.73","6.45","11.42","69.11",""
"164809","工银中证500ETF联接A","2020-12-04","1.1589","0.35","1.67","-2.22","16.17","30.49","43.23","9.13","22.48","56.51",""
"164508","国富中证100指数增强(LOF)","2020-12-04","1.4620","0.21","1.11","9.27","31.24","36.55","72.54","49.67","28.67","67.37",""
"164402","前海开源中航军工","2020-12-04","0.9730","1.25","2.75","4.18","41.95","49.71","68.02","28.92","46.16","0.44",""
"164401","前海开源健康分级","2020-12-04","1.0700","0.85","3.88","-4.89","28.96","74.93","125.97","84.80","71.09","94.55",""
"164205","天弘文化新兴产业","2020-12-04","2.4746","-0.25","0.30","4.30","31.00","52.47","147.58","124.05","40.71","187.74",""
"163821","中银沪深300等权重指数","2020-12-04","2.0780","0.05","1.42","4.11","35.11","49.28","75.95","38.35","38.63","107.80",""
"163808","中银中证100指数增强","2020-12-04","2.1260","0.19","1.24","9.87","36.63","40.24","75.41","55.75","32.96","114.73",""
"163407","兴全沪深300指数(LOF)A","2020-12-04","2.6725","-0.14","1.63","3.77","29.70","33.53","63.90","46.52","25.69","167.25",""
"163209","诺安创业板指数增强(LOF)A","2020-12-04","1.6029","1.25","4.57","4.58","28.08","59.56","58.76","-2.76","48.68","26.33",""
"163118","申万菱信申万医药生物分级","2020-12-04","1.0103","1.20","6.12","-4.26","26.45","62.79","86.82","67.34","56.45","64.22",""
"163116","申万中证申万电子行业投资指数(LOF)A","2020-12-04","0.9592","0.17","2.13","-0.83","24.40","49.53","112.51","37.95","40.86","11.85",""
"163115","申万菱信中证军工指数分级","2020-12-04","1.0942","1.08","2.07","0.92","40.89","55.87","71.95","34.30","51.96","55.62",""
"163114","申万菱信中证环保产业指数(LOF)A","2020-12-04","1.0354","0.23","-0.33","4.47","34.72","51.06","63.23","9.39","40.41","51.07",""
"163113","申万菱信申万证券分级","2020-12-04","1.0787","-1.61","1.63","-1.45","28.62","28.58","43.98","13.66","13.48","63.71",""
"163111","申万菱信中小板指数(LOF)A","2020-12-04","1.4665","0.71","2.59","3.04","28.38","51.89","78.67","26.83","41.19","99.00",""
"163110","申万菱信量化小盘股票","2020-12-04","2.1219","0.27","2.23","-0.04","24.43","38.87","65.85","30.17","29.49","259.62",""
"163109","申万菱信深证成指分级","2020-12-04","0.7288","0.37","2.29","2.50","24.58","41.74","71.54","26.47","32.43","1.67",""
"162907","泰信中证锐联基本面400指数(LOF)","2020-12-04","1.1705","0.12","0.64","0.64","20.55","28.63","35.81","2.74","20.25","78.18",""
"162714","广发深证100指数(LOF)A","2020-12-04","1.6942","0.36","2.42","5.90","31.61","46.39","95.01","48.23","37.27","111.04",""
"162711","广发中证500ETF联接A","2020-12-04","1.4224","0.34","1.69","-1.90","16.61","31.58","42.30","6.72","23.78","42.24",""
"162510","国联安双力中小板综指","2020-12-04","1.1120","0.63","1.74","-2.03","17.55","32.86","46.32","4.32","24.52","101.31",""
"162509","国联安中证100指数(LOF)","2020-12-04","1.0000","0.20","1.34","10.10","37.83","43.32","75.13","51.40","35.68","128.07",""
"162416","华宝港股通恒生香港35","2020-12-04","0.9765","0.19","-0.15","5.03","6.48","-0.56","-1.62","","-5.63","-2.35",""
